code,rawCode,nameOfficial,nameShort,type,status,systems,codeEvidence,aliases,sourceIds,lastVerifiedAt
00099,0099,ING BANK A.Ş.,ING BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00103,0103,FİBABANKA A.Ş.,FİBABANKA,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00108,0108,TURKLAND BANK A.S.,TURKLAND BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00109,0109,ICBC TURKEY BANK A.Ş.,ICBC TURKEY BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00111,0111,QNB FİNANSBANK A.Ş.,QNB FİNANSBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00115,0115,DEUTSCHE BANK A.Ş.,DEUTSCHE BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00116,0116,PASHA YATIRIM BANK A.Ş.,PASHA YATIRIM BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00121,0121,STANDARD CHARTERED YATIRIM BANKASI TÜRK A.Ş.,STANDARD CHARTERED YATIRIM BANKASI TÜRK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00122,0122,SOCIETE GENERALE (SA),SOCIETE GENERALE (SA),bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00123,0123,HSBC BANK A.Ş.,HSBC BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00124,0124,ALTERNATİFBANK A.Ş.,ALTERNATİFBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00125,0125,BURGAN BANK A.Ş.,BURGAN BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00129,0129,BANK OF AMERICA YATIRIM BANK A.Ş.,BANK OF AMERICA YATIRIM BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00132,0132,İSTANBUL TAKAS VE SAKLAMA BANK. A.Ş.,İSTANBUL TAKAS VE SAKLAMA BANK.,financial_market_infrastructure,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00134,0134,DENİZBANK A.Ş.,DENİZBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00135,0135,ANADOLUBANK A.Ş.,ANADOLUBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00137,0137,RABOBANK A.Ş.,RABOBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00138,0138,DİLER YATIRIM BANKASI A.Ş.,DİLER YATIRIM BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00139,0139,GSD YATIRIM BANKASI A.Ş.,GSD YATIRIM BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00141,0141,NUROL YATIRIM BANKASI A.Ş.,NUROL YATIRIM BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00142,0142,BANKPOZİTİF KREDİ VE KALK.BANK.A.Ş.,BANKPOZİTİF KREDİ VE KALK.BANK.A.Ş.,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
